,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
88,Linear algebra,0.333,0.333,0.333,0.333,0.207,0.143,0.564,0.26,0.6,0.3,0.333,0.4,0.44,0.433,0.457,0.475,0.444,0.46,0.6,0.5,0.667,0.75,0.76,0.8,0.771,0.8,0.778,0.78
89,batch processing,0.04,0.0,0.04,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.04,0.033,0.029,0.05,0.044,0.04,0.0,0.0,0.0,0.0,0.04,0.033,0.029,0.05,0.044,0.04
90,rule induction,0.0,0.0,0.077,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.05,0.08,0.067,0.057,0.05,0.044,0.04
91,Uncertainty quantification,0.143,0.143,1.0,1.0,0.022,0.034,0.391,0.815,0.0,0.2,0.267,0.2,0.16,0.133,0.114,0.125,0.111,0.1,0.8,0.9,0.867,0.65,0.68,0.6,0.571,0.55,0.511,0.52
92,Computer architecture,0.143,0.143,1.0,1.0,0.019,0.014,0.746,1.0,0.0,0.1,0.067,0.05,0.08,0.067,0.086,0.075,0.111,0.16,1.0,1.0,0.867,0.8,0.84,0.867,0.829,0.825,0.844,0.84
93,Best-first search,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Gaussian random field,0.2,0.2,0.333,0.333,0.02,0.02,0.089,0.073,0.2,0.1,0.067,0.15,0.2,0.167,0.143,0.125,0.133,0.12,0.4,0.2,0.267,0.3,0.4,0.333,0.286,0.275,0.267,0.28
95,Support vector machine,1.0,1.0,1.0,1.0,0.609,0.89,0.609,0.89,1.0,0.9,0.867,0.9,0.92,0.833,0.829,0.775,0.756,0.68,1.0,0.9,0.867,0.9,0.92,0.833,0.829,0.775,0.756,0.68
96,ontology language,0.5,0.5,1.0,1.0,0.069,0.15,0.922,1.0,0.4,0.3,0.333,0.3,0.24,0.267,0.229,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.943,0.95,0.933,0.94
97,machine translation,1.0,1.0,1.0,1.0,0.822,0.757,0.932,1.0,0.8,0.9,0.933,0.95,0.92,0.933,0.943,0.95,0.889,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.933,0.94
